klient;świeże;mrożone;ostre;słodkie;zielone;czerwone;lokalne;tropikalne;liściaste;bulwowe
A;1;0;1;0;0;1;0;0;0;0
B;0;1;0;1;1;0;0;0;1;0
C;1;0;1;1;1;0;0;0;0;0
D;1;1;1;0;0;0;0;0;0;1
E;1;1;1;0;0;0;0;0;0;0
F;0;0;0;1;0;0;1;1;1;0
G;1;1;0;1;0;0;0;0;0;0
H;1;1;1;1;1;0;1;1;0;1
I;0;0;1;0;1;1;1;1;0;0
J;1;0;1;1;0;0;0;0;0;1
K;0;0;1;1;1;0;0;1;0;0
L;0;0;0;0;0;0;0;1;0;1
M;0;1;1;0;1;0;1;1;0;1
N;0;0;1;1;0;1;1;1;1;1
O;0;1;1;0;0;0;1;0;1;1
P;0;1;1;0;0;0;1;0;0;0
Q;1;0;0;1;0;1;0;1;0;1
R;1;0;1;1;1;0;1;0;1;1
S;0;1;1;1;1;0;1;0;1;1
T;1;1;1;0;1;1;0;0;1;0
